Sucre ;0;1;0;0;1;0;0;0;0
Caquetá;0;0;0;0;1;0;0;0;0
Magdalena ;1;0;1;2;0;0;0;0;0
Risaralda ;10;15;17;11;12;16;3;1;1
Valle ;76;68;66;84;65;52;5;5;4
Bolívar;40;21;23;15;21;23;2;1;1
Antioquia ;69;61;66;74;65;65;5;10;7
Federación Deportiva Militar;6;7;14;2;1;8;1;1;1
Casanare ;4;1;1;0;2;4;0;0;0
Caldas ;1;3;4;1;2;11;1;0;0
Bogotá D.C.;52;47;51;49;51;51;4;5;5
Arauca ;0;0;1;0;0;3;0;0;0
La Guajira ;1;0;0;0;0;1;0;0;0
Norte de Santander ;1;4;4;0;2;9;0;0;1
Huila ;2;3;6;1;2;6;0;0;0
Tolima ;3;5;17;4;4;19;0;0;1
Cesar ;1;3;5;0;2;1;0;0;0
Nariño;1;0;4;1;2;3;0;0;0
Córdoba;0;1;3;1;0;2;0;0;0
Chocó;0;0;1;0;0;1;0;0;0
Santander ;8;9;16;5;9;15;0;0;2
Cundinamarca ;9;12;13;4;6;18;7;3;6
Cauca ;1;1;7;1;6;8;0;1;1
San Andrés;0;1;2;0;0;1;0;0;0
Meta ;4;8;13;0;2;6;0;0;0
Quindío;0;3;10;2;3;6;0;0;0
Boyacá;10;21;17;26;27;15;0;1;4
Atlántico;5;8;13;6;4;7;0;0;1
